"Geographic Area Name (NAME)","2017 NAICS code (NAICS2017)","Meaning of NAICS code (NAICS2017_LABEL)","Meaning of Sex code (SEX_LABEL)","Meaning of Ethnicity code (ETH_GROUP_LABEL)","Meaning of Race code (RACE_GROUP_LABEL)","Meaning of Veteran code (VET_GROUP_LABEL)","Meaning of Years in business code (YIBSZFI_LABEL)","Year (YEAR)","Number of employer firms (FIRMPDEMP)","Sales, value of shipments, or revenue of employer firms ($1,000) (RCPPDEMP)","Number of employees (EMP)","Annual payroll ($1,000) (PAYANN)","Relative standard error of employer firms (%) (FIRMPDEMP_S)","Relative standard error of sales, value of shipments, or revenue of employer firms (%) (RCPPDEMP_S)","Relative standard error of number of employees (%) (EMP_S)","Relative standard error of annual payroll (%) (PAYANN_S)"
"United States","00","Total for all sectors","Male","Total","Black or African American","Total","Firms with 6 to 10 years in business","2018","13,667","18,451,787","134,629","4,849,596","5.2","23.2","18.1","13.9"
"United States","00","Total for all sectors","Male","Total","Black or African American","Total","Firms with 11 to 15 years in business","2018","9,035","14,593,292","106,573","4,373,472","12.2","19.3","18.7","24.1"
"United States","00","Total for all sectors","Male","Total","Black or African American","Total","Firms with 16 or more years in business","2018","15,235","35,589,790","235,839","8,475,442","4.6","12.3","13.1","11.5"
"United States","00","Total for all sectors","Equally male/female","Total","Black or African American","Total","Firms with less than 2 years in business","2018","1,684","599,996","6,127","176,166","25.3","23.6","51.0","26.8"
"United States","00","Total for all sectors","Equally male/female","Total","Black or African American","Total","Firms with 2 to 3 years in business","2018","1,755","906,268","11,053","264,974","28.4","32.4","34.7","36.0"
"United States","00","Total for all sectors","Equally male/female","Total","Black or African American","Total","Firms with 4 to 5 years in business","2018","1,629","1,037,976","14,301","381,502","16.3","49.0","55.6","60.9"
"United States","00","Total for all sectors","Equally male/female","Total","Black or African American","Total","Firms with 6 to 10 years in business","2018","2,146","1,270,043","25,525","472,551","24.7","35.3","61.8","52.1"
"United States","00","Total for all sectors","Equally male/female","Total","Black or African American","Total","Firms with 11 to 15 years in business","2018","1,796","1,764,655","36,701","670,508","23.1","36.1","52.7","40.1"
"United States","00","Total for all sectors","Equally male/female","Total","Black or African American","Total","Firms with 16 or more years in business","2018","2,753","3,794,430","44,698","1,205,112","17.0","39.9","32.3","37.2"
"United States","00","Total for all sectors","Total","Hispanic","Black or African American","Total","Firms with less than 2 years in business","2018","2,009","648,363","4,584","129,145","16.6","14.5","29.4","21.2"
"United States","00","Total for all sectors","Total","Hispanic","Black or African American","Total","Firms with 2 to 3 years in business","2018","S","S","5,000 to 9,999 employees","S","S","S","S","S"
"United States","00","Total for all sectors","Total","Hispanic","Black or African American","Total","Firms with 4 to 5 years in business","2018","1,268","776,554","5,766","191,234","24.5","29.5","33.2","30.5"
"United States","00","Total for all sectors","Total","Hispanic","Black or African American","Total","Firms with 6 to 10 years in business","2018","S","S","10,000 to 24,999 employees","S","S","S","S","S"
"United States","00","Total for all sectors","Total","Hispanic","Black or African American","Total","Firms with 11 to 15 years in business","2018","1,235","1,313,357","9,955","301,397","15.5","36.6","36.2","23.3"
"United States","00","Total for all sectors","Total","Hispanic","Black or African American","Total","Firms with 16 or more years in business","2018","1,136","1,175,340","6,637","307,889","21.5","20.7","25.0","22.0"
"United States","00","Total for all sectors","Total","Equally Hispanic/non-Hispanic","Black or African American","Total","Firms with less than 2 years in business","2018","133","36,485","238","5,852","53.1","46.0","51.5","33.4"
"United States","00","Total for all sectors","Total","Equally Hispanic/non-Hispanic","Black or African American","Total","Firms with 2 to 3 years in business","2018","S","S","1,000 to 2,499 employees","S","S","S","S","S"
"United States","00","Total for all sectors","Total","Equally Hispanic/non-Hispanic","Black or African American","Total","Firms with 4 to 5 years in business","2018","S","S","100 to 249 employees","S","S","S","S","S"
"United States","00","Total for all sectors","Total","Equally Hispanic/non-Hispanic","Black or African American","Total","Firms with 6 to 10 years in business","2018","61","81,482","669","37,090","91.5","24.7","73.1","19.2"
"United States","00","Total for all sectors","Total","Equally Hispanic/non-Hispanic","Black or African American","Total","Firms with 11 to 15 years in business","2018","S","S","20 to 99 employees","S","S","S","S","S"
"United States","00","Total for all sectors","Total","Equally Hispanic/non-Hispanic","Black or African American","Total","Firms with 16 or more years in business","2018","S","S","20 to 99 employees","S","S","S","S","S"
"United States","00","Total for all sectors","Total","Non-Hispanic","Black or African American","Total","Firms with less than 2 years in business","2018","18,522","8,515,189","74,279","2,333,090","4.9","9.7","16.5","8.2"
"United States","00","Total for all sectors","Total","Non-Hispanic","Black or African American","Total","Firms with 2 to 3 years in business","2018","19,388","10,631,742","127,361","3,256,947","7.3","9.2","8.6","9.1"
"United States","00","Total for all sectors","Total","Non-Hispanic","Black or African American","Total","Firms with 4 to 5 years in business","2018","14,448","11,559,016","124,885","3,755,555","6.6","9.6","13.6","15.1"
"United States","00","Total for all sectors","Total","Non-Hispanic","Black or African American","Total","Firms with 6 to 10 years in business","2018","22,569","21,907,401","225,681","7,046,558","2.5","14.1","13.3","13.6"
"United States","00","Total for all sectors","Total","Non-Hispanic","Black or African American","Total","Firms with 11 to 15 years in business","2018","15,587","19,359,971","192,565","6,254,411","9.3","17.2","17.4","19.1"
"United States","00","Total for all sectors","Total","Non-Hispanic","Black or African American","Total","Firms with 16 or more years in business","2018","24,298","47,230,868","395,982","12,667,058","3.4","8.4","10.3","8.2"
"United States","00","Total for all sectors","Total","Total","American Indian and Alaska Native","Total","Firms with less than 2 years in business","2018","3,698","1,747,261","11,209","384,761","10.9","11.8","12.2","8.2"
"United States","00","Total for all sectors","Total","Total","American Indian and Alaska Native","Total","Firms with 2 to 3 years in business","2018","3,958","2,232,404","16,889","450,611","11.6","19.7","29.2","28.2"
"United States","00","Total for all sectors","Total","Total","American Indian and Alaska Native","Total","Firms with 4 to 5 years in business","2018","2,456","2,064,938","12,807","508,684","15.0","20.8","22.0","22.8"
"United States","00","Total for all sectors","Total","Total","American Indian and Alaska Native","Total","Firms with 6 to 10 years in business","2018","4,299","4,613,982","31,147","1,288,478","8.4","23.5","18.1","20.5"
"United States","00","Total for all sectors","Total","Total","American Indian and Alaska Native","Total","Firms with 11 to 15 years in business","2018","4,124","5,363,301","35,789","1,479,615","8.4","20.3","21.8","32.6"
"United States","00","Total for all sectors","Total","Total","American Indian and Alaska Native","Total","Firms with 16 or more years in business","2018","5,899","17,675,617","92,415","4,129,113","12.1","16.6","16.4","18.3"
"United States","00","Total for all sectors","Female","Total","American Indian and Alaska Native","Total","Firms with less than 2 years in business","2018","1,235","549,939","4,084","141,341","16.9","9.4","24.1","11.8"
"United States","00","Total for all sectors","Female","Total","American Indian and Alaska Native","Total","Firms with 2 to 3 years in business","2018","1,391","689,819","6,714","134,951","17.6","26.0","37.4","26.3"
"United States","00","Total for all sectors","Female","Total","American Indian and Alaska Native","Total","Firms with 4 to 5 years in business","2018","1,092","739,540","4,352","198,757","27.6","14.9","18.7","22.8"
"United States","00","Total for all sectors","Female","Total","American Indian and Alaska Native","Total","Firms with 6 to 10 years in business","2018","1,739","1,011,182","8,081","287,563","11.7","18.8","22.6","17.1"
"United States","00","Total for all sectors","Female","Total","American Indian and Alaska Native","Total","Firms with 11 to 15 years in business","2018","1,793","2,706,060","23,487","886,626","11.2","33.9","28.6","47.4"
"United States","00","Total for all sectors","Female","Total","American Indian and Alaska Native","Total","Firms with 16 or more years in business","2018","1,737","4,481,069","25,035","1,020,916","20.8","29.1","32.3","33.0"
"United States","00","Total for all sectors","Male","Total","American Indian and Alaska Native","Total","Firms with less than 2 years in business","2018","2,366","1,090,419","6,677","225,675","15.6","16.4","9.0","9.6"
"United States","00","Total for all sectors","Male","Total","American Indian and Alaska Native","Total","Firms with 2 to 3 years in business","2018","2,492","1,448,153","9,943","307,895","16.3","25.7","32.5","33.0"
"United States","00","Total for all sectors","Male","Total","American Indian and Alaska Native","Total","Firms with 4 to 5 years in business","2018","1,260","1,281,779","8,279","303,393","24.5","35.2","35.2","37.5"
"United States","00","Total for all sectors","Male","Total","American Indian and Alaska Native","Total","Firms with 6 to 10 years in business","2018","2,448","3,459,721","22,389","972,456","14.9","25.6","26.3","25.1"
"United States","00","Total for all sectors","Male","Total","American Indian and Alaska Native","Total","Firms with 11 to 15 years in business","2018","2,100","2,528,197","11,358","563,060","13.4","17.8","26.2","19.7"
"United States","00","Total for all sectors","Male","Total","American Indian and Alaska Native","Total","Firms with 16 or more years in business","2018","3,892","12,540,070","62,971","2,975,052","11.7","14.7","15.5","16.6"
"United States","00","Total for all sectors","Equally male/female","Total","American Indian and Alaska Native","Total","Firms with less than 2 years in business","2018","S","S","250 to 499 employees","S","S","S","S","S"
"United States","00","Total for all sectors","Equally male/female","Total","American Indian and Alaska Native","Total","Firms with 2 to 3 years in business","2018","S","S","100 to 249 employees","S","S","S","S","S"
"United States","00","Total for all sectors","Equally male/female","Total","American Indian and Alaska Native","Total","Firms with 4 to 5 years in business","2018","S","S","100 to 249 employees","S","S","S","S","S"
"United States","00","Total for all sectors","Equally male/female","Total","American Indian and Alaska Native","Total","Firms with 6 to 10 years in business","2018","S","S","500 to 999 employees","S","S","S","S","S"
"United States","00","Total for all sectors","Equally male/female","Total","American Indian and Alaska Native","Total","Firms with 11 to 15 years in business","2018","230","129,044","943","29,929","43.3","49.4","50.8","54.5"
"United States","00","Total for all sectors","Equally male/female","Total","American Indian and Alaska Native","Total","Firms with 16 or more years in business","2018","271","654,478","4,409","133,145","32.8","18.5","33.4","29.4"
"United States","00","Total for all sectors","Total","Hispanic","American Indian and Alaska Native","Total","Firms with less than 2 years in business","2018","735","194,786","1,558","46,605","25.6","17.5","28.0","16.3"
"United States","00","Total for all sectors","Total","Hispanic","American Indian and Alaska Native","Total","Firms with 2 to 3 years in business","2018","1,018","403,563","3,027","98,451","26.9","28.1","42.9","39.1"
"United States","00","Total for all sectors","Total","Hispanic","American Indian and Alaska Native","Total","Firms with 4 to 5 years in business","2018","S","S","1,000 to 2,499 employees","S","S","S","S","S"
"United States","00","Total for all sectors","Total","Hispanic","American Indian and Alaska Native","Total","Firms with 6 to 10 years in business","2018","529","528,692","4,740","171,153","27.2","41.2","44.8","49.1"
"United States","00","Total for all sectors","Total","Hispanic","American Indian and Alaska Native","Total","Firms with 11 to 15 years in business","2018","S","S","5,000 to 9,999 employees","S","S","S","S","S"
"United States","00","Total for all sectors","Total","Hispanic","American Indian and Alaska Native","Total","Firms with 16 or more years in business","2018","813","862,311","7,998","220,430","35.8","42.3","87.3","55.8"
"United States","00","Total for all sectors","Total","Equally Hispanic/non-Hispanic","American Indian and Alaska Native","Total","Firms with less than 2 years in business","2018","6","640","2","95","26.8","1.0","80.3","5.1"
"United States","00","Total for all sectors","Total","Equally Hispanic/non-Hispanic","American Indian and Alaska Native","Total","Firms with 11 to 15 years in business","2018","S","S","0 to 19 employees","S","S","S","S","S"
